표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7002460004","002460","화성산업보통주","화성산업","HwasungIndustrial","1988/09/29","KOSPI","주권",,"보통주","5000","10150000"
"KR7378850002","378850","화승알앤에이보통주","화승알앤에이","HWASEUNG R&A CO., LTD.","2021/03/15","KOSPI","주권",,"보통주","500","18993623"
"KR7241590009","241590","화승엔터프라이즈보통주","화승엔터프라이즈","HWASEUNG ENTERPRISE","2016/10/04","KOSPI","주권",,"보통주","500","60589276"
"KR7006060008","006060","화승인더스트리보통주","화승인더","HSIndustries","1991/02/04","KOSPI","주권",,"보통주","500","55320000"
"KR7013520002","013520","화승코퍼레이션보통주","화승코퍼레이션","Hwaseung Corporation","1991/02/22","KOSPI","주권",,"보통주","500","50051252"
"KR7010690006","010690","화신보통주","화신","Hwashin","1994/01/14","KOSPI","주권",,"보통주","500","34920410"
"KR7133820001","133820","화인베스틸보통주","화인베스틸","FINEBESTEEL","2014/07/22","KOSPI","주권",,"보통주","500","29918118"
"KR7010660009","010660","화천기계보통주","화천기계","HWACHEON MACHINERY","1988/12/12","KOSPI","주권",,"보통주","500","22000000"
"KR7000850008","000850","화천기공보통주","화천기공","HwacheonMachineTool","1999/11/18","KOSPI","주권",,"보통주","5000","2200000"
"KR7016580003","016580","환인제약보통주","환인제약","WhaninPharm","1996/07/03","KOSPI","주권",,"보통주","500","18600070"
"KR7032560005","032560","황금에스티보통주","황금에스티","Hwang Kum Steel & Technology","2009/10/29","KOSPI","주권",,"보통주","500","17000000"
"KR7004800009","004800","효성보통주","효성","Hyosung","1973/06/30","KOSPI","주권",,"보통주","5000","21071025"
"KR7094280005","094280","효성아이티엑스 보통주","효성ITX","HYOSUNG ITX Co., Ltd.","2007/10/25","KOSPI","주권",,"보통주","500","11558200"
"KR7298040007","298040","효성중공업보통주","효성중공업","HYOSUNG HEAVY INDUSTRIES","2018/07/13","KOSPI","주권",,"보통주","5000","9324548"
"KR7298050006","298050","효성첨단소재보통주","효성첨단소재","HYOSUNG ADVANCED MATERIALS","2018/07/13","KOSPI","주권",,"보통주","5000","4479948"
"KR7298020009","298020","효성티앤씨보통주","효성티앤씨","HYOSUNG TNC","2018/07/13","KOSPI","주권",,"보통주","5000","4327682"
"KR7298000001","298000","효성화학보통주","효성화학","HYOSUNG CHEMICAL","2018/07/13","KOSPI","주권",,"보통주","5000","3190126"
"KR7093370005","093370","후성 보통주","후성","FOOSUNG CO.,LTD","2006/12/22","KOSPI","주권",,"보통주","500","94352104"
"KR7081660003","081660","휠라홀딩스보통주","휠라홀딩스","Fila Holdings","2010/09/28","KOSPI","주권",,"보통주","1000","60752222"
"KR7005870001","005870","휴니드테크놀러지스보통주","휴니드","HuneedTechnologies","1991/09/03","KOSPI","주권",,"보통주","5000","14116015"
"KR7079980009","079980","휴비스보통주","휴비스","HUVIS","2012/02/23","KOSPI","주권",,"보통주","5000","34500000"
"KR7005010004","005010","휴스틸보통주","휴스틸","HUSTEEL","1973/06/29","KOSPI","주권",,"보통주","1000","56188075"
"KR7000541003","000545","흥국화재해상보험1우선주","흥국화재우","HeungkukFire&MarineIns(1P)","1990/03/20","KOSPI","주권",,"구형우선주","5000","768000"
"KR7000542001","000547","흥국화재해상보험2우선주(신형)","흥국화재2우B","HeungkukFire&MarineIns(2PB)","1999/08/09","KOSPI","주권",,"신형우선주","5000","153600"
"KR7000540005","000540","흥국화재해상보험보통주","흥국화재","HeungkukFire&MarineInsurance","1974/12/05","KOSPI","주권",,"보통주","5000","64242645"
"KR7003280005","003280","흥아해운보통주","흥아해운","HeungaShipping","1976/06/29","KOSPI","주권",,"보통주","500","240424899"
