id,corp,stock_code,sector,label_en,label_ko,2018,2019,2020,2021,2022,YoY
1,AJ네트웍스,095570,서비스업,borrowing_dependency,차입금의존도,19.878283385935696,36.03896197664731,29.700196651133805,24.839342797070437,25.8574355434239,4.098710479866392
2,AJ네트웍스,095570,서비스업,cash_and_cash_equivalents,현금성자산,53509862897,122986211759,69806738399,85232019813,131861397964,54.70875646653145
3,AJ네트웍스,095570,서비스업,cash_and_cash_equivalents_to_short_term_borrowings_ratio,현금성자산/단기성차입금,20.76576917165767,42.19554331413486,26.57575346999581,75.23327129302689,62.94653670638719,-16.33151712728795
4,AJ네트웍스,095570,서비스업,cogs,매출원가,1066762174017,984610078914,850866952296,933875938995,1132920190871,21.313778797021314
5,AJ네트웍스,095570,서비스업,corporate_tax,법인세납부,6391243036,4589777483,69792025066,2061431242,15062903150,630.7012158885287
6,AJ네트웍스,095570,서비스업,current_liabilities,유동부채금액,674454978990,796062818789,661160443861,525176778325,814364855406,55.06490176571346
7,AJ네트웍스,095570,서비스업,current_liabilities_ratio,유동부채비율,250.95216374755265,166.26223561278655,266.0012363133884,191.73130145225286,270.1316765762291,40.890754159669854
8,AJ네트웍스,095570,서비스업,days_sales_outstanding,매출채권회전일수,28.22972611612561,38.29519206745698,35.567225457299045,34.662551091675596,28.684292793485685,-17.247023401072237
9,AJ네트웍스,095570,서비스업,debt_ratio,부채비율,423.6066928674466,419.15967826133647,451.433084198474,273.7949630560135,309.36814812973427,12.992636780700431
10,AJ네트웍스,095570,서비스업,debt_to_net_income_ratio,총부채상환비율,5590.008576407505,3455.880958177589,-39199.1614861205,1293.4212187298347,12766.464908425389,887.0307308675756
11,AJ네트웍스,095570,서비스업,dependence_on_net_borrowings,순차입금의존도,17.80034299863097,29.218728768020252,25.304777834821056,18.549363171986514,16.95657423061829,-8.58675808220561
12,AJ네트웍스,095570,서비스업,ebit,EBIT,-49408471511,107048170172,-18504130352,22290237581,27642664014,24.012424333971033
13,AJ네트웍스,095570,서비스업,ebit_margin,EBIT마진,-0.047257041669659695,0.10702040890691093,-0.02122140151027129,0.022700026244668665,0.02287603915507065,0.7753863740282
14,AJ네트웍스,095570,서비스업,ebitda,EBITDA,-49408471511,107048170172,-18504130352,22290237581,27642664014,24.012424333971033
15,AJ네트웍스,095570,서비스업,ebitda_margin,EBITDA마진,-4.725704166965969,10.702040890691093,-2.122140151027129,2.2700026244668665,2.287603915507065,0.7753863740281988
16,AJ네트웍스,095570,서비스업,ebitda_to_interest_expense,EBITDA/금융비용,-123.46466810687527,189.20998506382873,-41.37728337959038,63.54156326998677,60.84330134624619,-4.246451904678071
17,AJ네트웍스,095570,서비스업,ebitda_to_sales_revenue,EBITDA/매출액,-4.725704166965969,10.702040890691093,-2.122140151027129,2.2700026244668665,2.287603915507065,0.7753863740281988
18,AJ네트웍스,095570,서비스업,financial_expenses,금융비용,40018308289,56576385298,44720505651,35079775243,45432551164,29.51209307723785
19,AJ네트웍스,095570,서비스업,free_cash_flow,잉여현금흐름,-38978560523,-82322628833,-79124735657,-166397685961,42030706618,-125.25918937830124
20,AJ네트웍스,095570,서비스업,market_capitalization,시가총액,210934438975,232706806150,216084891425,253308615950,267823527400,5.730129390018484
21,AJ네트웍스,095570,서비스업,net_borrowings,순차입금,458383656815,526888253476,401882978706,251352116164,251202384146,-0.0595706215985483
22,AJ네트웍스,095570,서비스업,net_borrowings_to_ebitda,순차입금/EBITDA,-927.7430424313941,492.19734688544474,-2171.855532041055,1127.6331858313179,908.7488239873522,-19.41095425305339
23,AJ네트웍스,095570,서비스업,operating_cash_flow,영업활동현금흐름,-83538855287,-37909433941,17725957273,-11318072318,18324411864,-261.9040005147986
24,AJ네트웍스,095570,서비스업,operating_cf_to_total_borrowings,영업현금흐름/총차입금,-16.31957664437721,-5.833347203031225,3.75796983275218,-3.3626279756611597,4.783645105539628,-242.25912411851232
25,AJ네트웍스,095570,서비스업,quick_assets,당좌자산,217301561087,420169967807,214890726298,254177185738,276444852059,8.760686470088231
